shapes,shape_id,X,Y
Coronal_shape1,Coronal_shape1,13.990461,33.8630807
Coronal_shape2,Coronal_shape1,18.1240064,33.7408313
Coronal_shape3,Coronal_shape1,23.2114467,34.4743276
Coronal_shape4,Coronal_shape1,27.5039746,36.0635697
Coronal_shape5,Coronal_shape1,31.6375199,38.1418093
Coronal_shape6,Coronal_shape1,33.227345,40.8312958
Coronal_shape7,Coronal_shape1,35.4531002,42.9095355
Coronal_shape8,Coronal_shape1,36.2480127,44.8655257
Coronal_shape9,Coronal_shape1,37.0429253,46.6992665
Coronal_shape10,Coronal_shape1,35.1351351,46.4547677
Coronal_shape11,Coronal_shape1,31.9554849,46.2102689
Coronal_shape12,Coronal_shape1,28.6168521,45.1100244
Coronal_shape13,Coronal_shape1,25.9141494,43.398533
Coronal_shape14,Coronal_shape1,23.2114467,41.3202934
Coronal_shape15,Coronal_shape1,20.3497615,38.997555
Coronal_shape16,Coronal_shape1,17.1701113,37.0415648
Coronal_shape17,Coronal_shape1,14.7853736,35.5745721
Coronal_shape18,Coronal_shape1,13.990461,33.8630807
Coronal_shape19,Coronal_shape2,34.0222576,87.7750611
Coronal_shape20,Coronal_shape2,30.5246423,89.1198044
Coronal_shape21,Coronal_shape2,33.3863275,89.9755501
Coronal_shape22,Coronal_shape2,37.3608903,90.0977995
Coronal_shape23,Coronal_shape2,42.2893482,89.7310513
Coronal_shape24,Coronal_shape2,46.581876,88.2640587
Coronal_shape25,Coronal_shape2,49.2845787,86.0635697
Coronal_shape26,Coronal_shape2,50.7154213,82.6405868
Coronal_shape27,Coronal_shape2,51.5103339,78.9731051
Coronal_shape28,Coronal_shape2,50.5564388,74.4498778
Coronal_shape29,Coronal_shape2,49.4435612,69.9266504
Coronal_shape30,Coronal_shape2,48.1717011,66.6259169
Coronal_shape31,Coronal_shape2,46.581876,62.1026895
Coronal_shape32,Coronal_shape2,43.8791733,57.3349633
Coronal_shape33,Coronal_shape2,40.8585056,53.7897311
Coronal_shape34,Coronal_shape2,38.3147854,51.3447433
Coronal_shape35,Coronal_shape2,36.2480127,50.9779951
Coronal_shape36,Coronal_shape2,33.863275,50.7334963
Coronal_shape37,Coronal_shape2,31.6375199,50.8557457
Coronal_shape38,Coronal_shape2,37.5198728,56.3569682
Coronal_shape39,Coronal_shape2,40.2225755,59.4132029
Coronal_shape40,Coronal_shape2,42.9252782,63.9364303
Coronal_shape41,Coronal_shape2,45.4689984,68.4596577
Coronal_shape42,Coronal_shape2,47.0588235,72.8606357
Coronal_shape43,Coronal_shape2,48.3306836,77.7506112
Coronal_shape44,Coronal_shape2,48.0127186,82.396088
,Coronal_shape2,45.1510334,85.0855746
,Coronal_shape2,41.8124006,86.4303178
,Coronal_shape2,37.6788553,87.5305623
,Coronal_shape3,22.7344992,46.0880196
,Coronal_shape3,26.391097,46.4547677
,Coronal_shape3,30.5246423,47.5550122
,Coronal_shape3,34.4992051,48.5330073
,Coronal_shape3,37.6788553,50.2444988
,Coronal_shape3,38.3147854,51.3447433
,Coronal_shape3,36.2480127,50.9779951
,Coronal_shape3,33.863275,50.7334963
,Coronal_shape3,31.6375199,50.8557457
,Coronal_shape3,28.4578696,49.2665037
,Coronal_shape3,25.2782194,48.4107579
,Coronal_shape3,23.5294118,48.2885086
,Coronal_shape3,22.7344992,47.0660147
,Coronal_shape3,22.7344992,46.0880196
,Coronal_shape4,23.5294118,48.2885086
,Coronal_shape4,20.190779,48.8997555
,Coronal_shape4,15.2623211,48.7775061
,Coronal_shape4,17.0111288,50.9779951
,Coronal_shape4,18.4419714,52.6894866
,Coronal_shape4,18.7599364,53.7897311
,Coronal_shape4,22.7344992,55.7457213
,Coronal_shape4,26.2321145,57.7017115
,Coronal_shape4,29.4117647,60.1466993
,Coronal_shape4,32.4324324,63.0806846
,Coronal_shape4,34.3402226,65.5256724
,Coronal_shape4,35.2941176,67.7261614
,Coronal_shape4,39.1096979,67.2371638
,Coronal_shape4,41.8124006,67.603912
,Coronal_shape4,45.4689984,68.4596577
,Coronal_shape4,42.9252782,63.9364303
,Coronal_shape4,40.2225755,59.4132029
,Coronal_shape4,37.0429253,56.1124694
,Coronal_shape4,31.6375199,50.8557457
