shapes,shape_id,X,Y
STN2_shape1,STN2_shape1,419,227
STN2_shape2,STN2_shape1,227,227
STN2_shape3,STN2_shape2,325,71
STN2_shape4,STN2_shape2,326,74
STN2_shape5,STN2_shape2,329,77
STN2_shape6,STN2_shape2,328,80
STN2_shape7,STN2_shape2,328,84
STN2_shape8,STN2_shape2,327,87
STN2_shape9,STN2_shape2,332,93
STN2_shape10,STN2_shape2,335,97
STN2_shape11,STN2_shape2,340,106
STN2_shape12,STN2_shape2,345,117
STN2_shape13,STN2_shape2,348,122
STN2_shape14,STN2_shape2,355,131
STN2_shape15,STN2_shape2,359,139
STN2_shape16,STN2_shape2,361,142
STN2_shape17,STN2_shape2,364,150
STN2_shape18,STN2_shape2,367,155
STN2_shape19,STN2_shape2,369,157
STN2_shape20,STN2_shape3,264,228
STN2_shape21,STN2_shape3,256,225
STN2_shape22,STN2_shape3,248,226
STN2_shape23,STN2_shape3,241,228
STN2_shape24,STN2_shape3,240,228
STN2_shape25,STN2_shape3,253,236
STN2_shape26,STN2_shape3,268,250
STN2_shape27,STN2_shape3,272,259
STN2_shape28,STN2_shape3,275,255
STN2_shape29,STN2_shape3,276,250
STN2_shape30,STN2_shape3,276,240
STN2_shape31,STN2_shape3,274,235
STN2_shape32,STN2_shape3,265,228
STN2_shape33,STN2_shape3,264,228
STN2_shape34,STN2_shape4,194,224
STN2_shape35,STN2_shape4,182,222
STN2_shape36,STN2_shape4,182,222
STN2_shape37,STN2_shape4,178,223
STN2_shape38,STN2_shape4,178,228
STN2_shape39,STN2_shape4,169,235
STN2_shape40,STN2_shape4,168,236
STN2_shape41,STN2_shape4,168,246
STN2_shape42,STN2_shape4,178,256
STN2_shape43,STN2_shape4,189,263
STN2_shape44,STN2_shape4,192,265
STN2_shape45,STN2_shape4,196,277
STN2_shape46,STN2_shape4,203,289
STN2_shape47,STN2_shape4,208,289
STN2_shape48,STN2_shape4,202,264
STN2_shape49,STN2_shape4,200,250
STN2_shape50,STN2_shape4,201,244
STN2_shape51,STN2_shape4,213,233
STN2_shape52,STN2_shape4,217,231
STN2_shape53,STN2_shape4,218,230
STN2_shape54,STN2_shape4,213,227
STN2_shape55,STN2_shape4,200,226
,STN2_shape4,195,224
,STN2_shape4,194,224
,STN2_shape5,193,308
,STN2_shape5,187,305
,STN2_shape5,180,298
,STN2_shape5,180,287
,STN2_shape5,176,297
,STN2_shape5,167,314
,STN2_shape5,159,324
,STN2_shape5,158,327
,STN2_shape5,160,327
,STN2_shape5,165,327
,STN2_shape5,176,332
,STN2_shape5,185,339
,STN2_shape5,192,342
,STN2_shape5,193,333
,STN2_shape5,197,323
,STN2_shape5,199,318
,STN2_shape5,199,316
,STN2_shape5,200,312
,STN2_shape5,195,309
,STN2_shape5,193,308
,STN2_shape6,268,286
,STN2_shape6,273,290
,STN2_shape6,276,295
,STN2_shape6,278,306
,STN2_shape6,283,322
,STN2_shape6,284,331
,STN2_shape6,282,341
,STN2_shape6,267,356
,STN2_shape6,279,352
,STN2_shape6,286,346
,STN2_shape6,289,336
,STN2_shape6,288,312
,STN2_shape6,284,295
,STN2_shape6,273,271
,STN2_shape6,272,270
,STN2_shape6,270,278
,STN2_shape6,265,283
,STN2_shape6,267,285
,STN2_shape6,268,286
,STN2_shape7,430,238
,STN2_shape7,434,237
,STN2_shape7,445,233
,STN2_shape7,456,226
,STN2_shape7,459,224
,STN2_shape7,462,220
,STN2_shape7,463,220
,STN2_shape7,460,220
,STN2_shape7,452,223
,STN2_shape7,447,225
,STN2_shape7,443,225
,STN2_shape7,433,220
,STN2_shape7,431,217
,STN2_shape7,429,212
,STN2_shape7,423,214
,STN2_shape7,420,219
,STN2_shape7,419,222
,STN2_shape7,418,226
,STN2_shape7,419,229
,STN2_shape7,421,234
,STN2_shape7,424,237
,STN2_shape7,427,238
,STN2_shape7,429,238
,STN2_shape7,430,238
,STN2_shape8,418,145
,STN2_shape8,414,148
,STN2_shape8,411,150
,STN2_shape8,412,158
,STN2_shape8,408,161
,STN2_shape8,404,163
,STN2_shape8,400,163
,STN2_shape8,400,166
,STN2_shape8,404,173
,STN2_shape8,405,177
,STN2_shape8,410,191
,STN2_shape8,412,194
,STN2_shape8,418,192
,STN2_shape8,425,189
,STN2_shape8,425,187
,STN2_shape8,425,187
,STN2_shape8,427,184
,STN2_shape8,428,181
,STN2_shape8,430,180
,STN2_shape8,428,175
,STN2_shape8,428,172
,STN2_shape8,428,169
,STN2_shape8,430,167
,STN2_shape8,431,164
,STN2_shape8,432,163
,STN2_shape8,428,160
,STN2_shape8,426,157
,STN2_shape8,425,154
,STN2_shape8,424,151
,STN2_shape8,422,149
,STN2_shape8,420,147
,STN2_shape8,418,145
,STN2_shape9,432,162
,STN2_shape9,430,167
,STN2_shape9,428,170
,STN2_shape9,428,175
,STN2_shape9,431,179
,STN2_shape9,434,181
,STN2_shape9,438,182
,STN2_shape9,444,182
,STN2_shape9,447,181
,STN2_shape9,449,179
,STN2_shape9,448,174
,STN2_shape9,447,170
,STN2_shape9,443,168
,STN2_shape9,438,167
,STN2_shape9,435,165
,STN2_shape9,432,162
,STN2_shape10,401,150
,STN2_shape10,397,151
,STN2_shape10,395,153
,STN2_shape10,393,153
,STN2_shape10,397,159
,STN2_shape10,401,163
,STN2_shape10,405,163
,STN2_shape10,411,159
,STN2_shape10,411,157
,STN2_shape10,411,153
,STN2_shape10,409,150
,STN2_shape10,405,149
,STN2_shape10,401,149
,STN2_shape10,401,150
,STN2_shape11,159,324
,STN2_shape11,163,330
,STN2_shape11,172,337
,STN2_shape11,181,344
,STN2_shape11,188,350
,STN2_shape11,190,352
,STN2_shape11,193,353
,STN2_shape11,195,355
,STN2_shape11,193,349
,STN2_shape11,191,345
,STN2_shape11,189,340
,STN2_shape11,184,338
,STN2_shape11,176,331
,STN2_shape11,169,329
,STN2_shape11,165,327
,STN2_shape11,159,325
,STN2_shape11,159,324
,STN2_shape12,294,393
,STN2_shape12,297,393
,STN2_shape12,305,390
,STN2_shape12,323,384
,STN2_shape12,332,381
,STN2_shape12,334,378
,STN2_shape12,340,371
,STN2_shape12,334,373
,STN2_shape12,330,376
,STN2_shape12,322,379
,STN2_shape12,316,381
,STN2_shape12,306,383
,STN2_shape12,292,386
,STN2_shape12,289,387
,STN2_shape12,282,386
,STN2_shape12,276,385
,STN2_shape12,264,381
,STN2_shape12,253,376
,STN2_shape12,248,372
,STN2_shape12,244,371
,STN2_shape12,251,377
,STN2_shape12,262,383
,STN2_shape12,272,389
,STN2_shape12,284,393
,STN2_shape12,290,395
,STN2_shape12,292,395
,STN2_shape12,293,393
,STN2_shape12,294,393
,STN2_shape13,338,379
,STN2_shape13,353,374
,STN2_shape13,360,370
,STN2_shape13,364,364
,STN2_shape13,375,353
,STN2_shape13,380,346
,STN2_shape13,392,335
,STN2_shape13,395,330
,STN2_shape13,400,321
,STN2_shape13,403,315
,STN2_shape13,405,310
,STN2_shape13,405,306
,STN2_shape13,406,299
,STN2_shape13,404,287
,STN2_shape13,399,278
,STN2_shape13,393,270
,STN2_shape13,390,267
,STN2_shape13,378,257
,STN2_shape13,366,252
,STN2_shape13,360,247
,STN2_shape13,349,241
,STN2_shape13,338,237
,STN2_shape13,334,236
,STN2_shape13,331,235
,STN2_shape13,327,235
,STN2_shape13,335,241
,STN2_shape13,347,249
,STN2_shape13,357,259
,STN2_shape13,361,263
,STN2_shape13,369,271
,STN2_shape13,375,276
,STN2_shape13,379,281
,STN2_shape13,384,287
,STN2_shape13,387,293
,STN2_shape13,391,300
,STN2_shape13,391,307
,STN2_shape13,390,311
,STN2_shape13,388,316
,STN2_shape13,383,325
,STN2_shape13,379,330
,STN2_shape13,377,332
,STN2_shape13,375,336
,STN2_shape13,370,341
,STN2_shape13,364,348
,STN2_shape13,359,355
,STN2_shape13,353,360
,STN2_shape13,349,365
,STN2_shape13,346,368
,STN2_shape13,339,372
,STN2_shape13,337,373
,STN2_shape13,334,378
,STN2_shape13,333,381
,STN2_shape13,338,378
,STN2_shape13,338,379
,STN2_shape14,252,324
,STN2_shape14,252,328
,STN2_shape14,253,337
,STN2_shape14,255,343
,STN2_shape14,258,349
,STN2_shape14,261,354
,STN2_shape14,264,357
,STN2_shape14,270,353
,STN2_shape14,272,351
,STN2_shape14,274,348
,STN2_shape14,279,343
,STN2_shape14,282,339
,STN2_shape14,284,330
,STN2_shape14,283,321
,STN2_shape14,281,315
,STN2_shape14,279,309
,STN2_shape14,277,302
,STN2_shape14,277,298
,STN2_shape14,275,292
,STN2_shape14,272,287
,STN2_shape14,265,285
,STN2_shape14,264,284
,STN2_shape14,257,287
,STN2_shape14,253,289
,STN2_shape14,248,291
,STN2_shape14,245,291
,STN2_shape14,238,290
,STN2_shape14,241,299
,STN2_shape14,245,304
,STN2_shape14,248,308
,STN2_shape14,252,317
,STN2_shape14,252,325
,STN2_shape14,252,324
,STN2_shape15,349,241
,STN2_shape15,350,240
,STN2_shape15,350,242
,STN2_shape15,354,243
,STN2_shape15,364,250
,STN2_shape15,367,253
,STN2_shape15,370,249
,STN2_shape15,364,242
,STN2_shape15,358,235
,STN2_shape15,353,228
,STN2_shape15,340,223
,STN2_shape15,330,220
,STN2_shape15,322,218
,STN2_shape15,315,216
,STN2_shape15,304,210
,STN2_shape15,285,205
,STN2_shape15,288,213
,STN2_shape15,288,225
,STN2_shape15,296,227
,STN2_shape15,300,227
,STN2_shape15,320,233
,STN2_shape15,332,235
,STN2_shape15,347,240
,STN2_shape15,349,241
,STN2_shape16,451,373
,STN2_shape16,464,373
,STN2_shape16,473,370
,STN2_shape16,483,368
,STN2_shape16,494,364
,STN2_shape16,498,362
,STN2_shape16,502,360
,STN2_shape16,512,355
,STN2_shape16,522,348
,STN2_shape16,525,347
,STN2_shape16,528,343
,STN2_shape16,533,339
,STN2_shape16,540,332
,STN2_shape16,541,331
,STN2_shape16,543,326
,STN2_shape16,551,317
,STN2_shape16,553,311
,STN2_shape16,556,308
,STN2_shape16,559,303
,STN2_shape16,561,300
,STN2_shape16,569,288
,STN2_shape16,572,282
,STN2_shape16,572,270
,STN2_shape16,573,265
,STN2_shape16,572,251
,STN2_shape16,573,247
,STN2_shape16,573,239
,STN2_shape16,571,230
,STN2_shape16,563,220
,STN2_shape16,559,211
,STN2_shape16,557,207
,STN2_shape16,553,199
,STN2_shape16,554,197
,STN2_shape16,549,191
,STN2_shape16,545,187
,STN2_shape16,544,183
,STN2_shape16,542,182
,STN2_shape16,537,175
,STN2_shape16,531,169
,STN2_shape16,527,165
,STN2_shape16,517,158
,STN2_shape16,513,155
,STN2_shape16,510,152
,STN2_shape16,503,147
,STN2_shape16,496,143
,STN2_shape16,495,151
,STN2_shape16,494,157
,STN2_shape16,489,163
,STN2_shape16,485,169
,STN2_shape16,480,173
,STN2_shape16,473,178
,STN2_shape16,468,181
,STN2_shape16,463,184
,STN2_shape16,457,185
,STN2_shape16,451,185
,STN2_shape16,447,182
,STN2_shape16,444,183
,STN2_shape16,439,183
,STN2_shape16,433,181
,STN2_shape16,429,179
,STN2_shape16,428,181
,STN2_shape16,425,185
,STN2_shape16,425,189
,STN2_shape16,423,191
,STN2_shape16,421,192
,STN2_shape16,417,193
,STN2_shape16,411,194
,STN2_shape16,419,207
,STN2_shape16,419,211
,STN2_shape16,419,212
,STN2_shape16,429,213
,STN2_shape16,437,207
,STN2_shape16,439,204
,STN2_shape16,445,202
,STN2_shape16,451,201
,STN2_shape16,459,204
,STN2_shape16,463,208
,STN2_shape16,465,211
,STN2_shape16,465,217
,STN2_shape16,465,218
,STN2_shape16,471,222
,STN2_shape16,473,224
,STN2_shape16,477,226
,STN2_shape16,475,228
,STN2_shape16,474,229
,STN2_shape16,475,231
,STN2_shape16,476,234
,STN2_shape16,474,238
,STN2_shape16,473,245
,STN2_shape16,471,249
,STN2_shape16,469,252
,STN2_shape16,469,256
,STN2_shape16,466,260
,STN2_shape16,463,261
,STN2_shape16,462,268
,STN2_shape16,458,273
,STN2_shape16,452,275
,STN2_shape16,446,281
,STN2_shape16,442,286
,STN2_shape16,435,291
,STN2_shape16,434,295
,STN2_shape16,431,302
,STN2_shape16,429,308
,STN2_shape16,425,313
,STN2_shape16,421,318
,STN2_shape16,418,320
,STN2_shape16,414,331
,STN2_shape16,413,336
,STN2_shape16,414,343
,STN2_shape16,416,346
,STN2_shape16,417,351
,STN2_shape16,417,355
,STN2_shape16,417,360
,STN2_shape16,421,365
,STN2_shape16,427,369
,STN2_shape16,433,372
,STN2_shape16,435,374
,STN2_shape16,451,373
,STN2_shape17,184,82
,STN2_shape17,186,86
,STN2_shape17,187,89
,STN2_shape17,187,91
,STN2_shape17,188,93
,STN2_shape17,192,91
,STN2_shape17,192,89
,STN2_shape17,189,85
,STN2_shape17,190,82
,STN2_shape17,193,82
,STN2_shape17,195,84
,STN2_shape17,194,77
,STN2_shape17,191,70
,STN2_shape17,188,62
,STN2_shape17,184,54
,STN2_shape17,177,40
,STN2_shape17,171,31
,STN2_shape17,166,23
,STN2_shape17,161,16
,STN2_shape17,159,14
,STN2_shape17,154,13
,STN2_shape17,152,12
,STN2_shape17,149,9
,STN2_shape17,148,5
,STN2_shape17,151,2
,STN2_shape17,148,5
,STN2_shape17,146,5
,STN2_shape17,142,1
,STN2_shape17,125,1
,STN2_shape17,133,6
,STN2_shape17,136,9
,STN2_shape17,138,12
,STN2_shape17,147,22
,STN2_shape17,152,26
,STN2_shape17,152,29
,STN2_shape17,157,35
,STN2_shape17,160,40
,STN2_shape17,161,45
,STN2_shape17,164,53
,STN2_shape17,166,59
,STN2_shape17,172,67
,STN2_shape17,181,76
,STN2_shape17,182,81
,STN2_shape17,182,83
,STN2_shape17,184,83
,STN2_shape17,184,82
,STN2_shape18,247,265
,STN2_shape18,245,269
,STN2_shape18,241,276
,STN2_shape18,239,282
,STN2_shape18,237,289
,STN2_shape18,243,291
,STN2_shape18,250,290
,STN2_shape18,260,286
,STN2_shape18,264,283
,STN2_shape18,267,279
,STN2_shape18,270,277
,STN2_shape18,271,271
,STN2_shape18,272,261
,STN2_shape18,272,257
,STN2_shape18,269,251
,STN2_shape18,264,253
,STN2_shape18,258,256
,STN2_shape18,253,259
,STN2_shape18,250,264
,STN2_shape18,246,266
,STN2_shape18,247,265
,STN2_shape19,341,209
,STN2_shape19,341,210
,STN2_shape19,337,210
,STN2_shape19,329,211
,STN2_shape19,325,211
,STN2_shape19,317,212
,STN2_shape19,315,213
,STN2_shape19,312,213
,STN2_shape19,309,213
,STN2_shape19,317,217
,STN2_shape19,325,219
,STN2_shape19,335,222
,STN2_shape19,343,224
,STN2_shape19,351,227
,STN2_shape19,349,222
,STN2_shape19,348,218
,STN2_shape19,346,213
,STN2_shape19,346,210
,STN2_shape19,342,210
,STN2_shape19,341,209
,STN2_shape20,177,73
,STN2_shape20,177,79
,STN2_shape20,177,85
,STN2_shape20,177,93
,STN2_shape20,176,101
,STN2_shape20,174,105
,STN2_shape20,173,109
,STN2_shape20,173,116
,STN2_shape20,173,121
,STN2_shape20,171,130
,STN2_shape20,169,136
,STN2_shape20,167,145
,STN2_shape20,165,156
,STN2_shape20,162,161
,STN2_shape20,162,169
,STN2_shape20,162,178
,STN2_shape20,163,185
,STN2_shape20,167,190
,STN2_shape20,171,185
,STN2_shape20,173,178
,STN2_shape20,173,174
,STN2_shape20,175,161
,STN2_shape20,177,156
,STN2_shape20,178,154
,STN2_shape20,178,150
,STN2_shape20,178,145
,STN2_shape20,178,141
,STN2_shape20,178,134
,STN2_shape20,178,129
,STN2_shape20,178,121
,STN2_shape20,178,117
,STN2_shape20,180,111
,STN2_shape20,180,106
,STN2_shape20,181,102
,STN2_shape20,182,96
,STN2_shape20,182,91
,STN2_shape20,182,88
,STN2_shape20,182,86
,STN2_shape20,182,83
,STN2_shape20,182,84
,STN2_shape20,181,81
,STN2_shape20,181,76
,STN2_shape20,176,74
,STN2_shape20,177,73
,STN2_shape21,240,179
,STN2_shape21,240,181
,STN2_shape21,240,183
,STN2_shape21,239,189
,STN2_shape21,237,192
,STN2_shape21,236,198
,STN2_shape21,236,204
,STN2_shape21,236,210
,STN2_shape21,236,215
,STN2_shape21,236,217
,STN2_shape21,238,217
,STN2_shape21,239,216
,STN2_shape21,242,216
,STN2_shape21,245,218
,STN2_shape21,249,220
,STN2_shape21,247,214
,STN2_shape21,247,209
,STN2_shape21,247,199
,STN2_shape21,249,193
,STN2_shape21,252,191
,STN2_shape21,257,191
,STN2_shape21,264,194
,STN2_shape21,275,199
,STN2_shape21,281,203
,STN2_shape21,284,205
,STN2_shape21,295,208
,STN2_shape21,300,209
,STN2_shape21,303,210
,STN2_shape21,300,206
,STN2_shape21,293,199
,STN2_shape21,290,193
,STN2_shape21,289,187
,STN2_shape21,289,184
,STN2_shape21,283,183
,STN2_shape21,275,180
