shapes,shape_id,X,Y
STN_shape1,STN_shape1,419,227
STN_shape2,STN_shape1,227,227
STN_shape3,STN_shape2,227,307
STN_shape4,STN_shape2,217,307
STN_shape5,STN_shape2,214,308
STN_shape6,STN_shape2,214,308
STN_shape7,STN_shape2,208,317
STN_shape8,STN_shape2,208,317
STN_shape9,STN_shape2,195,333
STN_shape10,STN_shape2,191,339
STN_shape11,STN_shape2,189,350
STN_shape12,STN_shape2,203,365
STN_shape13,STN_shape2,214,374
STN_shape14,STN_shape2,213,363
STN_shape15,STN_shape2,215,356
STN_shape16,STN_shape2,219,351
STN_shape17,STN_shape2,225,350
STN_shape18,STN_shape2,228,345
STN_shape19,STN_shape2,237,340
STN_shape20,STN_shape2,248,334
STN_shape21,STN_shape2,255,327
STN_shape22,STN_shape2,259,315
STN_shape23,STN_shape2,257,305
STN_shape24,STN_shape2,252,293
STN_shape25,STN_shape2,252,286
STN_shape26,STN_shape2,253,281
STN_shape27,STN_shape2,254,276
STN_shape28,STN_shape2,246,284
STN_shape29,STN_shape2,241,289
STN_shape30,STN_shape2,235,291
STN_shape31,STN_shape2,231,298
STN_shape32,STN_shape2,230,304
STN_shape33,STN_shape2,228,306
STN_shape34,STN_shape2,227,307
STN_shape35,STN_shape3,161,219
STN_shape36,STN_shape3,159,217
STN_shape37,STN_shape3,142,223
STN_shape38,STN_shape3,124,225
STN_shape39,STN_shape3,124,226
STN_shape40,STN_shape3,138,227
STN_shape41,STN_shape3,155,231
STN_shape42,STN_shape3,163,231
STN_shape43,STN_shape3,166,228
STN_shape44,STN_shape3,165,224
STN_shape45,STN_shape3,165,219
STN_shape46,STN_shape3,165,215
STN_shape47,STN_shape3,165,212
STN_shape48,STN_shape3,160,216
STN_shape49,STN_shape3,153,219
STN_shape50,STN_shape3,147,221
STN_shape51,STN_shape3,142,223
,STN_shape3,161,219
,STN_shape4,351,388
,STN_shape4,370,396
,STN_shape4,374,397
,STN_shape4,372,390
,STN_shape4,372,386
,STN_shape4,380,367
,STN_shape4,387,356
,STN_shape4,389,349
,STN_shape4,390,345
,STN_shape4,390,343
,STN_shape4,389,345
,STN_shape4,391,342
,STN_shape4,377,351
,STN_shape4,375,353
,STN_shape4,363,363
,STN_shape4,343,377
,STN_shape4,333,383
,STN_shape4,332,383
,STN_shape4,351,388
,STN_shape5,219,306
,STN_shape5,228,305
,STN_shape5,232,297
,STN_shape5,235,292
,STN_shape5,235,291
,STN_shape5,239,290
,STN_shape5,243,288
,STN_shape5,246,286
,STN_shape5,247,284
,STN_shape5,250,281
,STN_shape5,253,277
,STN_shape5,256,273
,STN_shape5,257,265
,STN_shape5,255,258
,STN_shape5,255,251
,STN_shape5,251,245
,STN_shape5,247,238
,STN_shape5,240,235
,STN_shape5,235,233
,STN_shape5,235,233
,STN_shape5,231,233
,STN_shape5,226,232
,STN_shape5,226,232
,STN_shape5,224,232
,STN_shape5,218,233
,STN_shape5,210,240
,STN_shape5,206,244
,STN_shape5,204,249
,STN_shape5,201,252
,STN_shape5,201,262
,STN_shape5,200,267
,STN_shape5,202,273
,STN_shape5,207,281
,STN_shape5,213,290
,STN_shape5,213,294
,STN_shape5,214,299
,STN_shape5,215,305
,STN_shape5,219,306
,STN_shape6,96,343
,STN_shape6,98,347
,STN_shape6,106,349
,STN_shape6,114,353
,STN_shape6,120,356
,STN_shape6,128,362
,STN_shape6,134,367
,STN_shape6,139,371
,STN_shape6,148,375
,STN_shape6,151,380
,STN_shape6,151,386
,STN_shape6,155,391
,STN_shape6,160,392
,STN_shape6,165,393
,STN_shape6,168,396
,STN_shape6,174,400
,STN_shape6,183,403
,STN_shape6,188,405
,STN_shape6,191,408
,STN_shape6,196,410
,STN_shape6,198,413
,STN_shape6,199,414
,STN_shape6,203,414
,STN_shape6,209,415
,STN_shape6,214,418
,STN_shape6,220,421
,STN_shape6,225,424
,STN_shape6,237,427
,STN_shape6,247,427
,STN_shape6,255,428
,STN_shape6,256,429
,STN_shape6,260,430
,STN_shape6,267,431
,STN_shape6,272,430
,STN_shape6,282,429
,STN_shape6,290,431
,STN_shape6,296,433
,STN_shape6,303,434
,STN_shape6,311,432
,STN_shape6,321,433
,STN_shape6,325,435
,STN_shape6,330,438
,STN_shape6,334,438
,STN_shape6,343,436
,STN_shape6,354,436
,STN_shape6,364,436
,STN_shape6,374,434
,STN_shape6,377,432
,STN_shape6,388,429
,STN_shape6,390,429
,STN_shape6,402,428
,STN_shape6,419,427
,STN_shape6,425,425
,STN_shape6,432,422
,STN_shape6,440,420
,STN_shape6,448,421
,STN_shape6,457,422
,STN_shape6,464,421
,STN_shape6,474,417
,STN_shape6,485,410
,STN_shape6,493,406
,STN_shape6,506,400
,STN_shape6,515,394
,STN_shape6,524,388
,STN_shape6,537,384
,STN_shape6,542,381
,STN_shape6,546,383
,STN_shape6,551,385
,STN_shape6,552,385
,STN_shape6,554,382
,STN_shape6,554,377
,STN_shape6,559,375
,STN_shape6,564,371
,STN_shape6,569,367
,STN_shape6,573,366
,STN_shape6,586,355
,STN_shape6,590,348
,STN_shape6,600,338
,STN_shape6,610,323
,STN_shape6,614,313
,STN_shape6,616,306
,STN_shape6,618,301
,STN_shape6,619,297
,STN_shape6,620,291
