shapes,shape_id,X,Y
VIM_shape1,VIM_shape1,419,227
VIM_shape2,VIM_shape1,227,227
VIM_shape3,VIM_shape2,335,385
VIM_shape4,VIM_shape2,332,387
VIM_shape5,VIM_shape2,328,389
VIM_shape6,VIM_shape2,327,389
VIM_shape7,VIM_shape2,327,390
VIM_shape8,VIM_shape2,332,397
VIM_shape9,VIM_shape2,335,400
VIM_shape10,VIM_shape2,338,402
VIM_shape11,VIM_shape2,344,404
VIM_shape12,VIM_shape2,353,406
VIM_shape13,VIM_shape2,349,401
VIM_shape14,VIM_shape2,346,394
VIM_shape15,VIM_shape2,347,388
VIM_shape16,VIM_shape2,347,383
VIM_shape17,VIM_shape2,347,379
VIM_shape18,VIM_shape2,346,377
VIM_shape19,VIM_shape2,338,380
VIM_shape20,VIM_shape2,338,383
VIM_shape21,VIM_shape2,336,384
VIM_shape22,VIM_shape2,335,385
VIM_shape23,VIM_shape2,333,386
VIM_shape24,VIM_shape2,335,385
VIM_shape25,VIM_shape3,196,236
VIM_shape26,VIM_shape3,198,245
VIM_shape27,VIM_shape3,204,255
VIM_shape28,VIM_shape3,209,261
VIM_shape29,VIM_shape3,216,263
VIM_shape30,VIM_shape3,227,261
VIM_shape31,VIM_shape3,229,244
VIM_shape32,VIM_shape3,230,234
VIM_shape33,VIM_shape3,230,219
VIM_shape34,VIM_shape3,225,199
VIM_shape35,VIM_shape3,224,197
VIM_shape36,VIM_shape3,222,196
VIM_shape37,VIM_shape3,212,192
VIM_shape38,VIM_shape3,209,191
VIM_shape39,VIM_shape3,209,193
VIM_shape40,VIM_shape3,210,213
VIM_shape41,VIM_shape3,207,223
VIM_shape42,VIM_shape3,196,236
VIM_shape43,VIM_shape4,257,191
VIM_shape44,VIM_shape4,253,190
VIM_shape45,VIM_shape4,249,192
VIM_shape46,VIM_shape4,246,194
,VIM_shape4,245,196
,VIM_shape4,244,197
,VIM_shape4,243,198
,VIM_shape4,249,204
,VIM_shape4,254,213
,VIM_shape4,256,218
,VIM_shape4,265,221
,VIM_shape4,278,223
,VIM_shape4,284,223
,VIM_shape4,284,221
,VIM_shape4,277,211
,VIM_shape4,274,208
,VIM_shape4,266,199
,VIM_shape4,263,196
,VIM_shape4,258,192
,VIM_shape4,257,191
,VIM_shape5,154,340
,VIM_shape5,158,345
,VIM_shape5,163,351
,VIM_shape5,167,353
,VIM_shape5,169,354
